image,max_angle_deg,max_rect_area,min_angle_deg,min_rect_area,contour_area
1.png,0.00,12376.0,0.00,11792,12228.0
2.png,0.00,13860.0,-0.50,12090,13095.0
3.png,0.00,7738.0,0.50,7685,7731.5
4.png,0.00,6660.0,1.00,5891,6477.0
5.png,-0.74,10329.0,1.00,9620,9965.0
6.png,0.00,7250.0,0.00,6721,6920.5
7.png,0.00,7748.0,0.00,7632,7727.5
8.png,0.00,6885.0,0.00,6615,6702.0
9.png,0.00,5056.0,0.00,4867,4904.0
10.png,0.00,6751.0,0.00,6952,6751.0
