image,min_outer_angle_deg,min_outer_area,max_inner_angle_deg,max_inner_area,contour_area
1.png,-1.68,17437.5,2.50,14308,15584.0
2.png,-2.53,11563.5,1.50,8241,9153.5
3.png,-3.79,14366.5,-1.00,9125,10998.0
4.png,-2.54,27037.0,4.00,18304,21294.0
5.png,-2.60,12634.0,2.50,1776,5458.5
6.png,-3.03,37551.0,3.50,24442,29104.5
7.png,0.00,13764.0,1.00,10292,11100.0
8.png,-4.09,11322.5,1.00,3751,5444.5
9.png,0.00,11620.0,3.50,4340,6352.5
10.png,-2.03,13173.5,3.00,8610,9901.5
