image,min_outer_angle_deg,min_outer_area,max_inner_angle_deg,max_inner_area,contour_area
1.png,0.00,4472.0,0.00,4326,4405.0
2.png,0.00,2844.0,-0.50,2844,2833.0
3.png,0.00,3552.0,-0.50,3492,3522.5
4.png,0.00,9125.0,0.00,8352,9181.0
5.png,0.00,4368.0,0.00,4029,4313.0
6.png,0.00,9768.0,0.00,9555,9658.0
7.png,0.00,3360.0,0.00,3485,3360.0
8.png,0.00,2856.0,-0.50,2975,2856.0
9.png,0.00,2805.0,-1.50,2788,2886.5
10.png,0.00,3268.0,-0.50,3096,3169.0
